fips,stock_jan1,entries,exits,year,entry_rate,exit_rate,definition
08041,191,32,26,2006,0.16753926701570682,0.13612565445026178,E1 store
08043,18,3,2,2006,0.16666666666666666,0.1111111111111111,E1 store
08045,12,1,1,2006,0.08333333333333333,0.08333333333333333,E1 store
08047,0,0,0,2006,,,E1 store
08049,4,0,0,2006,0.0,0.0,E1 store
08051,4,0,0,2006,0.0,0.0,E1 store
08053,1,0,0,2006,0.0,0.0,E1 store
08055,6,1,0,2006,0.16666666666666666,0.0,E1 store
08057,1,1,1,2006,1.0,1.0,E1 store
08059,123,13,11,2006,0.10569105691056911,0.08943089430894309,E1 store
08061,1,0,0,2006,0.0,0.0,E1 store
08063,7,0,0,2006,0.0,0.0,E1 store
08065,3,0,1,2006,0.0,0.3333333333333333,E1 store
08067,15,0,0,2006,0.0,0.0,E1 store
08069,65,4,5,2006,0.06153846153846154,0.07692307692307693,E1 store
08071,8,0,1,2006,0.0,0.125,E1 store
08073,5,0,0,2006,0.0,0.0,E1 store
08075,8,1,0,2006,0.125,0.0,E1 store
08077,31,2,2,2006,0.06451612903225806,0.06451612903225806,E1 store
08079,1,0,0,2006,0.0,0.0,E1 store
08081,6,1,0,2006,0.16666666666666666,0.0,E1 store
08083,9,1,1,2006,0.1111111111111111,0.1111111111111111,E1 store
08085,15,1,2,2006,0.06666666666666667,0.13333333333333333,E1 store
08087,11,5,2,2006,0.45454545454545453,0.18181818181818182,E1 store
08089,15,0,0,2006,0.0,0.0,E1 store
08091,2,0,0,2006,0.0,0.0,E1 store
08093,3,2,0,2006,0.6666666666666666,0.0,E1 store
08095,2,1,1,2006,0.5,0.5,E1 store
08097,2,0,0,2006,0.0,0.0,E1 store
08099,12,2,3,2006,0.16666666666666666,0.25,E1 store
08101,93,7,5,2006,0.07526881720430108,0.053763440860215055,E1 store
08103,3,1,2,2006,0.3333333333333333,0.6666666666666666,E1 store
08105,11,0,1,2006,0.0,0.09090909090909091,E1 store
08107,8,0,1,2006,0.0,0.125,E1 store
08109,4,0,0,2006,0.0,0.0,E1 store
08111,1,0,0,2006,0.0,0.0,E1 store
08113,3,0,0,2006,0.0,0.0,E1 store
08115,2,0,1,2006,0.0,0.5,E1 store
08117,4,2,0,2006,0.5,0.0,E1 store
08119,7,1,0,2006,0.14285714285714285,0.0,E1 store
08121,2,2,2,2006,1.0,1.0,E1 store
08123,58,12,11,2006,0.20689655172413793,0.1896551724137931,E1 store
08125,6,3,1,2006,0.5,0.16666666666666666,E1 store
09001,320,35,35,2006,0.109375,0.109375,E1 store
09003,431,82,69,2006,0.1902552204176334,0.16009280742459397,E1 store
09005,45,10,3,2006,0.2222222222222222,0.06666666666666667,E1 store
09007,40,3,3,2006,0.075,0.075,E1 store
09009,452,74,66,2006,0.16371681415929204,0.14601769911504425,E1 store
09011,103,15,13,2006,0.14563106796116504,0.1262135922330097,E1 store
09013,34,5,1,2006,0.14705882352941177,0.029411764705882353,E1 store
09015,52,16,9,2006,0.3076923076923077,0.17307692307692307,E1 store
10001,83,16,13,2006,0.1927710843373494,0.1566265060240964,E1 store
10003,229,30,28,2006,0.13100436681222707,0.1222707423580786,E1 store
10005,101,6,8,2006,0.0594059405940594,0.07920792079207921,E1 store
11001,354,49,53,2006,0.1384180790960452,0.1497175141242938,E1 store
12001,123,17,10,2006,0.13821138211382114,0.08130081300813008,E1 store
12003,14,0,1,2006,0.0,0.07142857142857142,E1 store
12005,102,12,13,2006,0.11764705882352941,0.12745098039215685,E1 store
12007,25,4,4,2006,0.16,0.16,E1 store
12009,244,29,22,2006,0.11885245901639344,0.09016393442622951,E1 store
12011,609,90,65,2006,0.1477832512315271,0.10673234811165845,E1 store
12013,7,1,0,2006,0.14285714285714285,0.0,E1 store
12015,51,9,2,2006,0.17647058823529413,0.0392156862745098,E1 store
12017,89,6,10,2006,0.06741573033707865,0.11235955056179775,E1 store
12019,49,5,3,2006,0.10204081632653061,0.061224489795918366,E1 store
12021,94,10,9,2006,0.10638297872340426,0.09574468085106383,E1 store
12023,31,3,5,2006,0.0967741935483871,0.16129032258064516,E1 store
12027,18,1,2,2006,0.05555555555555555,0.1111111111111111,E1 store
12029,19,1,4,2006,0.05263157894736842,0.21052631578947367,E1 store
12031,389,67,53,2006,0.17223650385604114,0.13624678663239073,E1 store
12033,231,20,27,2006,0.08658008658008658,0.11688311688311688,E1 store
12035,24,5,1,2006,0.20833333333333334,0.041666666666666664,E1 store
12037,10,0,1,2006,0.0,0.1,E1 store
12039,49,5,7,2006,0.10204081632653061,0.14285714285714285,E1 store
12041,7,0,0,2006,0.0,0.0,E1 store
12043,4,0,0,2006,0.0,0.0,E1 store
12045,11,2,1,2006,0.18181818181818182,0.09090909090909091,E1 store
12047,12,4,3,2006,0.3333333333333333,0.25,E1 store
12049,22,1,1,2006,0.045454545454545456,0.045454545454545456,E1 store
12051,26,2,1,2006,0.07692307692307693,0.038461538461538464,E1 store
12053,68,7,5,2006,0.10294117647058823,0.07352941176470588,E1 store
12055,49,3,3,2006,0.061224489795918366,0.061224489795918366,E1 store
12057,650,101,82,2006,0.15538461538461537,0.12615384615384614,E1 store
12059,15,3,1,2006,0.2,0.06666666666666667,E1 store
12061,39,3,4,2006,0.07692307692307693,0.10256410256410256,E1 store
12063,35,3,5,2006,0.08571428571428572,0.14285714285714285,E1 store
12065,14,2,1,2006,0.14285714285714285,0.07142857142857142,E1 store
12067,6,0,1,2006,0.0,0.16666666666666666,E1 store
12069,146,14,16,2006,0.0958904109589041,0.1095890410958904,E1 store
12071,197,14,8,2006,0.07106598984771574,0.04060913705583756,E1 store
12073,122,13,12,2006,0.10655737704918032,0.09836065573770492,E1 store
12075,39,1,3,2006,0.02564102564102564,0.07692307692307693,E1 store
12077,4,0,0,2006,0.0,0.0,E1 store
12079,17,4,2,2006,0.23529411764705882,0.11764705882352941,E1 store
12081,126,10,9,2006,0.07936507936507936,0.07142857142857142,E1 store
12083,205,22,18,2006,0.1073170731707317,0.08780487804878048,E1 store
